times,difficulty,pass_num,total_num,accuracy
1,A,170,189,0.8994708994708994
2,A,164,189,0.8677248677248677
3,A,168,189,0.8888888888888888
4,A,165,189,0.873015873015873
5,A,168,189,0.8888888888888888
1,B,157,189,0.8306878306878307
2,B,145,189,0.7671957671957672
3,B,151,189,0.798941798941799
4,B,134,189,0.708994708994709
5,B,149,189,0.7883597883597884
1,C,105,189,0.5555555555555556
2,C,95,189,0.5026455026455027
3,C,93,189,0.492063492063492
4,C,84,189,0.4444444444444444
5,C,115,189,0.6084656084656085
1,D,43,189,0.2275132275132275
2,D,44,189,0.2328042328042328
3,D,42,189,0.2222222222222222
4,D,30,189,0.1587301587301587
5,D,64,189,0.3386243386243386
